story,maslow
"Anne, a little girl, ran away from home because she was upset with her parents. Anne kept running down a dark train tunnel and got scared. But thanks to a news broadcast looking for her, anne's parents found her and anne was glad to come home.",1
Mia has finished her last exams and it's finally summer break. Mia hugged her best friend ben on her last day of school before her summer break. Mia is so happy she doesn't have to go to school during her summer break.,1
Michael wanted to get healthy and lose weight. His girlfriend broke up with him because he spent too much time exercising. Michael ended up being depressed and eating food and gaining a lot of weight.,1
He is playing to the foot ball he is very happy to the moment. She is meeting to the boyfriend so he is very happy to the moment. They drive together and wrap up their date.,1
"Doctor named safety , wanted and spoked about wearing mask all the time when you go out to to safeguard against covid 19 infection , warns about the illness caused by the virus A person name dontcare , went to super market with out wearing mask and doesnt follow the safety guidelines issued by the doctor and the health department , he is well dressed and wears cool glasses for himself but the very must mask is not weared Mr dontcare , tested positive against covid 19 and getting treatment in hospital and the doctors said he is very critical and his lungs is fully infected by virus and doctors are tried hard to save his life .so people dont go out without wearing mask in this pandemic situation",0
The teacher's class on graphs for the exam was confusing. Joe studied for the exam all night long. Joe found out the next day and passed the exam.,2
Jack is shopping for food to finally try and cook dinner for his family. Jack told his wife and son of his dinner plan and they were very supportive of his ambition of cooking such a large meal. Jack pulled a miracle and managed to cook a fantastic dinner with very little experience.,2
Ben was unexpectedly deployed to assist in a peace keeping mission. After 7 months in iraq he didn't know how he was going to make it through an entire year. On ben's birthday he was called to his sergeant's office. ben wondered what he had done wrong and worried about the punishment. as he opened the door his wife jumped out and surprised him. his commander had arranged for a visit to cheer ben up.,1
Euvi loved manik very much Euvi gave a gift to manik on his birthday Manik understands euvi's love to him and accepted euvi as his lover,1
"Robert, william and james were friends. William and james locked robert inside a restroom. Robert came out and fought with james.",1
Rose invited her best friend tony to her birthday party and tony promised her . But tony was ill that day and could not attend the party Rose was very sad without tony in her birthday party.,1
A boy was thinking about what he wanted to do with his life. He ended up wanting to play soccer and became very good at it. He became so good he made a lot of money doing it.,2
"Sidney is a very stressed young man with an important presentation about his new high paying job. He does his best in his presentation, but he makes a lot of mistakes and his boss fires him. After failure, Sydney turns to food for comfort and eventually becomes fat, miserable, and alone.",2
Francisco is tired of painting every place he wants to visit. One day Francisco received a great inheritance from his uncle. Now francisco can travel the world and visit every place he painted.,2
Emily sat at home eating junk food all day. Her doctor told her to stop her bad habit and do her dance. Emily followed his advice and she is now a successful ballerina.,2
Sheela was getting ready to meet her friend after long gap She met her boyfriend in a park and hugged her She was so happy after that meeting,1
The boy was playing football in a ground He doing his job very well but he eat sweet too much. He was very feel for his fat,0
"John felt blue, because he wanted to be a comedian, yet needed confidence. He went to an open mic night at a local comedy club, and had a great set on stage. The audience gave john a standing ovation, and he performs comedy now.",1
"When Alice was a young girl, she suffered from anxiety and lacked confidence. Growing up, people who knew Alice, like her sister Mary, laughed at her all the time. Alice grew up without believing in herself and became homeless as an adult because she had no career or friends.",2
The lady thought she could eat as many donuts as she wanted. Now she feels sick and after a year she has put on a lot of weight.,0
"He is singing a song, so he is happy She is gifted in friend, so she is happy feeling. She offered him an audition, and he won and became a star.",1
Mary ran to school. She missed the start of her class. She went outside and started crying.,2
Mohit is a hard worker. he is a father of rithesh. mohit loves his son very much. Mohit's ultimate goal is to make his son a doctor. he worked day and night and saves lot of money for his son't study. Rithesh understands his father's pain for his success. he studied well and join in medical school and he completed his doctor degree and become a doctor. his father mohit arranges a grand reception to receive his son as a doctor. both of them really proud about each other.,1
The homeless man lost his job and had to beg for money. He saved all the money people gave him. He was able to buy a house will all the saved up money.,0
Hank and him mom are driving in the car. Someone hit their car and both hank and his mom were injured. Hank is in the hospital with serious injuries.,0
Mathew has met with an accident in school Peter always had fight with his friends in playground He was exhausted due to the work stress,0
Raheem's teacher takes lessons for him. he does not focus on his studies. He always thinks about playing soccer while sitting in the classroom. he never listens to the class teacher and keeps dreaming of football. He looks very nervous on the day of the exam. he doesn't know the answer to any questions. his dream of football did not help him with the exam. he is not passed in the exam.,2
Melissa goes to the bathroom at the airport to refresh herself. She says that Melissa spends more than 30 minutes refreshing her clothes there. Her announcement that her plane was taking off when she came out surprised her with me.,2
Sara and john loves each other. One day john fight with his friend. Sara watching that fight she sad immediately.,1
Thomas invites a classmate out for a date. They spent the afternoon in the park but he is nervous that it isn't going well. His date hugs him and tells him that she had a great time.,1
Chris was playing video games too much because he didn't know what else to do. He decided to go outside and find something else to do. He discovered the game of football and discovered that he is a great player and loves sports!,2
Alexhad a childhood bestfriend named alice. As they grew older alice moved to a different school and they lost touch. Alex became depressed and overweight as he always longed that one day alice would return.,1
The pregnant lady is visiting the hospital The lady is asked to get admitted The baby is born,0
"George and his son hated the city they lived in because of the constant rain. They finally decided to move to a new place. They loved the new city with the clear, clear sky.",2
The kid was sick in the hospital The doctor came to visit The doctor said that the kid's parents were just called to pick him up and that he is going to be okay,0
Nancy was in a horrible mood. Her friend paul told her a funny joke. Nancy laughed so hard she forgot her troubles.,1
Sam and his son Michael flew to Colorado for a vacation. They drove to the state park to enjoy the scenery. They climbed to the top of the ridge and jumped over the beautiful scenery.,2
"Noah attends a singing competition and he is very tension about his competition. He is very well singing in competition. Finally, he wins the award.",2
"Phillip, who loves to sing, dreams of becoming a great singer. He worked hard, practiced every day and started singing. Philip became very famous as his celebrity grew and he poured the love and affection of people everywhere he went.",2
Jack feel proud after winning the lethal combat. He is so happy that he dances with joy in the combat field. He was shot because he was so visible that his friends are in tears and in a lot of pain.,1
The boy had a high fever so he is admitted in a hospital The old women struggle in her life to cure her grandson .no one help to her Eventually he got psychosis due to high fever.,0
"Mary's family was seated at the dining table ready to eat their meal. Mary told them the food was still cooking and not ready, so they would have to wait. They were impatient so Mary went to taste it on the stove and her mouth burned badly.",0
Bon watched tv instead of studying for his college exams. He had to spend all night at the library to catch up. He was so tired that he got into an accident on the way to take his exam.,2
"Lisa and roy have fallen in love Lisa got pregnant after marriage with roy Lisa felt alone after the marriage with roy, as he doesn't care about her",1
Frank's car gets hit on his way to work. The accident makes frank late to work. He gets fired and has to beg for money.,0
"Harry did not go to work and he simply sits and eating in his young age. He spends money without worries. In his middle age, he cries due to not saving money in his young age.",2
San felt very hungry after having continous online classes. He thought of going to the nearby pizza store but it was a heavy rain. But for san's surprise his mom has preapared him a yummy treat.,0
Anna's dream is to become a dancer as she is very fond of dancing. She gives an awesome performance in a competition. She is happy that her performance is appreciated by one and all.,2
Jackson was office to leaving in home to happy meet to father Jackson fast to driving in car.so was jackson car is accident to opposite car Finally jackson was admit in hospital for treatment.,0
"Ram was an explorer and was looking for treasure. After more than a month of exploring the desert, Ram finally became rich in search of treasure.",2
"The cat, lisa, is lonely because she has no friends She went out of the house for the first time for finding friend She met a new friend and is no longer lonely",1
"The land was barren and barren. People worked together to install irrigation and plant crops and trees. After several generations, the land was restored to its natural balance.",2
"Kevin was heartbroken when he found out that he had died from over-watering his favorite plant. So he studied hard about plants. Despite his efforts, he did not water and the plant died.",2
Bon watched TV instead of studying for college exams. He had to stay up in the library all night to catch up. He was so tired that he had an accident on the way to the exam.,2
Frank had lots of work to do in the field Franked worked hard in the hot weather without any water Working all day dehydrated frank and he got sick and needed iv fluids,0
When adam was a child he always seemed to be attracted to violence and loved to start fights with his classmates. When he got older adam joined the military because he wanted to fight and use his weapon to shoot people. Adam was so reckless during a dangerous mission that he was killed and his body was sent home and buried.,1
"Jim should do his homework after school. Instead, he played video games for hours and never finished his homework. When his mother found out, she got angry and yelled at him.",2
Eric is feeling sweaty and tired. Eric books an appointment online to visit a local doctor. The doctor confirms he has covid-19 and he is concerned.,0
Tom was playing football on the road nearby his house Tom ran behind the ball as he kicked where a car was coming fast on the road. Unfortunately the car dashed him to accident and tom got admitted in the hospital for treatment.,0
Andrew who is an artist is nervous to meet anna to confess his love for her. Anna gets ready to look beautiful as she is going to meet andrew whom she likes a lot. Both express their love for each other and decides to be soul mates for ever.,1
"Joffrey spent time training to become a better athlete. He took part in the real game. He did his best, but he still cried because he wasn't good.",2
The boy had a high fever and is being hospitalized. The old women struggle to heal their grandsons in their lives. Nobody helps her. Eventually he developed psychosis due to a high fever.,0
"Baby charles loved to play with his toys He also liked to explore his parents large home But, he really loved when his father would play happy songs on the piano",1
"Alex was very good at driving cars. he won a race at the local car championship. One day he was riding the car on highway but he was riding way over the speed limit. one car was coming from the front and he could not control his car, so it resulted in an accident. Alex suffered major injuries and was hospitalized. moral-never driver over the speed limit.",0
Jane used to enjoy dancing to music. As she got older she could no longer dance. Then jane discovered that she loved playing music for others to dance to even more.,2
"At school eliza was bullied constantly. Eliza ended up binge eating to cope with the pain. One day she decided to stand up to her bullies and tell them ""no more!"" she felt better about herself after that and her life started to improve.",1
"Stephanie was feeling sick so she went to see her doctor. The doctor told her she was just run down and needed to rest. After resting up, stephanie felt so much better and was able to enjoy a laugh with her friends the next day.",0
"Sam was studious, worked hard and had a good life. He started to play video games and was hooked to it. His addiction got so bad that he lost everything and ended up homeless.",2
"A bully started punching sam in school, hurting him really badly. Sam was taken to the hospital and placed on a drip Sam was released from hospital and reunited with his best friend",0
John and amy were very close friends. amy likes to talk with john John was not able to concentrate in his studies so he decided to ignore amy. Amy felt sad after knowing that john is ignoring her.,1
